"area_name","area_code","date","new_cases","total_cases"
"Hillingdon","E09000017",2020-04-21,14,733
"Hounslow","E09000018",2020-04-21,22,667
"Islington","E09000019",2020-04-21,4,413
"Kensington and Chelsea","E09000020",2020-04-21,6,442
"Kingston upon Thames","E09000021",2020-04-21,16,471
"Lambeth","E09000022",2020-04-21,12,1102
"Lewisham","E09000023",2020-04-21,31,929
"Merton","E09000024",2020-04-21,13,659
"Newham","E09000025",2020-04-21,12,936
"Redbridge","E09000026",2020-04-21,15,699
"Richmond upon Thames","E09000027",2020-04-21,10,380
"Southwark","E09000028",2020-04-21,18,1183
"Sutton","E09000029",2020-04-21,17,691
"Tower Hamlets","E09000030",2020-04-21,10,616
"Waltham Forest","E09000031",2020-04-21,8,738
"Wandsworth","E09000032",2020-04-21,9,916
"Westminster","E09000033",2020-04-21,3,593
"Barking and Dagenham","E09000002",2020-04-22,9,492
"Barnet","E09000003",2020-04-22,11,1192
"Bexley","E09000004",2020-04-22,18,668
"Brent","E09000005",2020-04-22,17,1335
"Bromley","E09000006",2020-04-22,14,1025
"Camden","E09000007",2020-04-22,8,559
"Croydon","E09000008",2020-04-22,27,1368
"Ealing","E09000009",2020-04-22,15,1048
"Enfield","E09000010",2020-04-22,26,836
"Greenwich","E09000011",2020-04-22,14,667
"Hackney and City of London","E09000012",2020-04-22,8,631
"Hammersmith and Fulham","E09000013",2020-04-22,23,554
"Haringey","E09000014",2020-04-22,7,552
"Harrow","E09000015",2020-04-22,20,903
"Havering","E09000016",2020-04-22,12,664
"Hillingdon","E09000017",2020-04-22,16,749
"Hounslow","E09000018",2020-04-22,9,676
"Islington","E09000019",2020-04-22,3,416
"Kensington and Chelsea","E09000020",2020-04-22,17,459
"Kingston upon Thames","E09000021",2020-04-22,10,481
"Lambeth","E09000022",2020-04-22,16,1118
"Lewisham","E09000023",2020-04-22,7,936
"Merton","E09000024",2020-04-22,8,667
"Newham","E09000025",2020-04-22,16,952
"Redbridge","E09000026",2020-04-22,17,716
"Richmond upon Thames","E09000027",2020-04-22,3,383
"Southwark","E09000028",2020-04-22,5,1188
"Sutton","E09000029",2020-04-22,18,709
"Tower Hamlets","E09000030",2020-04-22,7,623
"Waltham Forest","E09000031",2020-04-22,9,747
"Wandsworth","E09000032",2020-04-22,6,922
"Westminster","E09000033",2020-04-22,2,595
"Barking and Dagenham","E09000002",2020-04-23,11,503
"Barnet","E09000003",2020-04-23,19,1211
"Bexley","E09000004",2020-04-23,14,682
"Brent","E09000005",2020-04-23,16,1351
"Bromley","E09000006",2020-04-23,38,1063
"Camden","E09000007",2020-04-23,11,570
"Croydon","E09000008",2020-04-23,33,1401
"Ealing","E09000009",2020-04-23,18,1066
"Enfield","E09000010",2020-04-23,26,862
"Greenwich","E09000011",2020-04-23,12,679
"Hackney and City of London","E09000012",2020-04-23,8,639
"Hammersmith and Fulham","E09000013",2020-04-23,51,605
"Haringey","E09000014",2020-04-23,13,565
"Harrow","E09000015",2020-04-23,18,921
"Havering","E09000016",2020-04-23,14,678
"Hillingdon","E09000017",2020-04-23,20,769
"Hounslow","E09000018",2020-04-23,15,691
"Islington","E09000019",2020-04-23,8,424
"Kensington and Chelsea","E09000020",2020-04-23,6,465
"Kingston upon Thames","E09000021",2020-04-23,18,499
"Lambeth","E09000022",2020-04-23,23,1141
"Lewisham","E09000023",2020-04-23,15,951
"Merton","E09000024",2020-04-23,10,677
"Newham","E09000025",2020-04-23,17,969
"Redbridge","E09000026",2020-04-23,14,730
"Richmond upon Thames","E09000027",2020-04-23,4,387
"Southwark","E09000028",2020-04-23,13,1201
"Sutton","E09000029",2020-04-23,16,725
"Tower Hamlets","E09000030",2020-04-23,11,634
"Waltham Forest","E09000031",2020-04-23,14,761
"Wandsworth","E09000032",2020-04-23,11,933
"Westminster","E09000033",2020-04-23,7,602
"Barking and Dagenham","E09000002",2020-04-24,3,506
"Barnet","E09000003",2020-04-24,17,1228
"Bexley","E09000004",2020-04-24,19,701
"Brent","E09000005",2020-04-24,16,1367
"Bromley","E09000006",2020-04-24,23,1086
"Camden","E09000007",2020-04-24,4,574
"Croydon","E09000008",2020-04-24,25,1426
"Ealing","E09000009",2020-04-24,22,1088
"Enfield","E09000010",2020-04-24,26,888
"Greenwich","E09000011",2020-04-24,14,693
"Hackney and City of London","E09000012",2020-04-24,5,644
"Hammersmith and Fulham","E09000013",2020-04-24,10,615
"Haringey","E09000014",2020-04-24,9,574
"Harrow","E09000015",2020-04-24,15,936
"Havering","E09000016",2020-04-24,11,689
"Hillingdon","E09000017",2020-04-24,13,782
"Hounslow","E09000018",2020-04-24,18,709
"Islington","E09000019",2020-04-24,4,428
"Kensington and Chelsea","E09000020",2020-04-24,0,465
"Kingston upon Thames","E09000021",2020-04-24,7,506
"Lambeth","E09000022",2020-04-24,12,1153
"Lewisham","E09000023",2020-04-24,11,962
"Merton","E09000024",2020-04-24,14,691
"Newham","E09000025",2020-04-24,11,980
"Redbridge","E09000026",2020-04-24,5,735
"Richmond upon Thames","E09000027",2020-04-24,5,392
"Southwark","E09000028",2020-04-24,12,1213
"Sutton","E09000029",2020-04-24,11,736
"Tower Hamlets","E09000030",2020-04-24,3,637
"Waltham Forest","E09000031",2020-04-24,15,776
"Wandsworth","E09000032",2020-04-24,12,945
"Westminster","E09000033",2020-04-24,7,609
"Barking and Dagenham","E09000002",2020-04-25,7,513
"Barnet","E09000003",2020-04-25,11,1239
"Bexley","E09000004",2020-04-25,15,716
"Brent","E09000005",2020-04-25,14,1381
"Bromley","E09000006",2020-04-25,22,1108
"Camden","E09000007",2020-04-25,7,581
"Croydon","E09000008",2020-04-25,14,1440
"Ealing","E09000009",2020-04-25,16,1104
"Enfield","E09000010",2020-04-25,27,915
"Greenwich","E09000011",2020-04-25,10,703
"Hackney and City of London","E09000012",2020-04-25,1,645
"Hammersmith and Fulham","E09000013",2020-04-25,3,618
"Haringey","E09000014",2020-04-25,9,583
"Harrow","E09000015",2020-04-25,19,955
"Havering","E09000016",2020-04-25,11,700
"Hillingdon","E09000017",2020-04-25,11,793
"Hounslow","E09000018",2020-04-25,21,730
"Islington","E09000019",2020-04-25,1,429
"Kensington and Chelsea","E09000020",2020-04-25,5,470
"Kingston upon Thames","E09000021",2020-04-25,5,511
"Lambeth","E09000022",2020-04-25,8,1161
"Lewisham","E09000023",2020-04-25,13,975
"Merton","E09000024",2020-04-25,11,702
"Newham","E09000025",2020-04-25,14,994
"Redbridge","E09000026",2020-04-25,10,745
"Richmond upon Thames","E09000027",2020-04-25,4,396
"Southwark","E09000028",2020-04-25,3,1216
"Sutton","E09000029",2020-04-25,9,745
"Tower Hamlets","E09000030",2020-04-25,12,649
"Waltham Forest","E09000031",2020-04-25,9,785
"Wandsworth","E09000032",2020-04-25,7,952
"Westminster","E09000033",2020-04-25,4,613
"Barking and Dagenham","E09000002",2020-04-26,10,523
"Barnet","E09000003",2020-04-26,17,1256
"Bexley","E09000004",2020-04-26,5,721
"Brent","E09000005",2020-04-26,13,1394
"Bromley","E09000006",2020-04-26,13,1121
"Camden","E09000007",2020-04-26,2,583
"Croydon","E09000008",2020-04-26,22,1462
"Ealing","E09000009",2020-04-26,18,1122
"Enfield","E09000010",2020-04-26,17,932
"Greenwich","E09000011",2020-04-26,11,714
"Hackney and City of London","E09000012",2020-04-26,7,652
"Hammersmith and Fulham","E09000013",2020-04-26,5,623
"Haringey","E09000014",2020-04-26,7,590
"Harrow","E09000015",2020-04-26,14,969
"Havering","E09000016",2020-04-26,8,708
"Hillingdon","E09000017",2020-04-26,14,807
"Hounslow","E09000018",2020-04-26,15,745
"Islington","E09000019",2020-04-26,7,436
"Kensington and Chelsea","E09000020",2020-04-26,3,473
"Kingston upon Thames","E09000021",2020-04-26,5,516
"Lambeth","E09000022",2020-04-26,9,1170
"Lewisham","E09000023",2020-04-26,7,982
"Merton","E09000024",2020-04-26,5,707
"Newham","E09000025",2020-04-26,7,1001
"Redbridge","E09000026",2020-04-26,14,759
"Richmond upon Thames","E09000027",2020-04-26,1,397
"Southwark","E09000028",2020-04-26,10,1226
"Sutton","E09000029",2020-04-26,13,758
"Tower Hamlets","E09000030",2020-04-26,7,656
"Waltham Forest","E09000031",2020-04-26,12,797
"Wandsworth","E09000032",2020-04-26,7,959
"Westminster","E09000033",2020-04-26,5,618
"Barking and Dagenham","E09000002",2020-04-27,8,531
"Barnet","E09000003",2020-04-27,20,1276
"Bexley","E09000004",2020-04-27,14,735
"Brent","E09000005",2020-04-27,20,1414
"Bromley","E09000006",2020-04-27,25,1146
"Camden","E09000007",2020-04-27,2,585
"Croydon","E09000008",2020-04-27,35,1497
"Ealing","E09000009",2020-04-27,19,1141
"Enfield","E09000010",2020-04-27,13,945
"Greenwich","E09000011",2020-04-27,10,724
"Hackney and City of London","E09000012",2020-04-27,4,656
"Hammersmith and Fulham","E09000013",2020-04-27,5,628
"Haringey","E09000014",2020-04-27,9,599
"Harrow","E09000015",2020-04-27,23,992
"Havering","E09000016",2020-04-27,13,721
"Hillingdon","E09000017",2020-04-27,18,825
